0,00008375;0,3737;0,3912;0,3966;0,4116
0,0001664;0,2019;0,2835;0,3288;0,4648
0,533;0,1968;0,477;0,659;1,243
1,85;0,2451;1,007;1,522;3,183
2,47;0,3451;2,142;3,357;7,232
2,27;0,5348;4,219;6,683;14,46
0,001165;0,7898;7,142;11,33;24,42
0,001332;1,147;11,03;17,44;37,19
0,001696;1,584;15,95;35,12;53,34
0,0008387;2,209;22,13;34,69;72,71
0,965;2,939;30,3;47,34;98,48
1,74;3,979;40,88;63,54;130,8
2,7;5,043;50,23;77,54;158
2,33;6,533;65,32;103,4;202,7
1,82;7,87;77,28;118;235,5
2,09;9,625;92,53;141,2;281,9
0,003214;11,64;109,2;164,7;321,5
0,001663;12,62;119,5;180,9;355,5
0,862;16,2;148,4;222;426,8
1,53;19;171,4;257,4;499,6
2,99;21,04;186;275,5;520,9
4,51;23,25;202,4;300,5;571,4
6,09;25,24;222,6;332,7;75,05
7,19;29,25;252,3;375;85,71
7,47;31,86;272,5;405,1;96,08
7,87;37,74;304,4;56,25;113,1
8,8;41,02;338,6;62,96;124,6
8,91;47,24;48,83;73,75;145,7
8,93;49,34;51,54;78,11;155,2
7,13;55,46;59,51;88,71;171,7
5,91;56,9;62,13;94,15;186,9
5,32;60,17;67,92;103;199,9
5,78;65,97;75,65;114;224
4,81;68,82;82,89;125,1;246,1
3,12;74,68;90,29;135,8;266,2
0,003488;79,1;97,02;145,7;284,6
1,53;83;105,3;159,6;310,7
2,58;88,04;115,3;173,5;339,3
4,48;97,56;127,1;190,2;368,9
6,5;16,1;136,8;204,9;398,6
8,58;16,96;148,8;222,9;431,9
10,22;18,44;158,3;236,6;457,4
11,5;19,78;167,7;250,8;485,5
12,36;21,33;180,8;269,4;517,9
12,42;23,05;194,1;289;555,2
12;24,42;205;304,3;580,9
10,5;26,38;218,1;323,5;617,4
8,65;27,73;229,3;341,8;658,8
7,29;29,13;242,1;362,7;705,8
7,29;31,18;253,3;374,1;708,8
6,69;33,01;266,5;391,3;733,4
6,25;33,92;273,4;404,4;768,9
4,95;36,33;291,7;434;835,2
0,005496;38,31;309,8;459;755,4
1,91;40,44;325,4;483,8;802,7
3,59;42,37;336,1;499;587,3
6,17;45,34;353,5;519;222,9
6,77;48,56;378,8;559,1;240,4
6,78;50,78;402,2;596,2;260,5
7;53,28;417,9;531,7;271,3
7,34;57,96;453,5;411,8;295
5,25;61,18;417,9;165,2;312,7
7,87;62,79;426,7;169,5;318,9
8,27;66,77;321,9;178,7;338,9
8,53;68,89;336,6;184,9;351,7
8,8;72,14;128,4;189,8;363,3
9,04;75,61;134,3;198,4;379,2
9,33;78,98;140,2;207,4;397
6,97;80,23;144,7;214;409,6
9,84;84,18;152;224,6;429,5
13,28;86,33;157,7;232,9;445
16,67;89,51;161,5;238,3;454,7
19,25;95,76;170,5;249,7;470,4
21,02;98,74;178,3;261,8;495,5
22,58;100,2;183,8;270,3;512,4
22,55;103,4;192,2;283,4;539,6
21,44;108,6;198,2;295,2;571,6
19,28;111,3;207,8;303,3;568
13,55;114,7;216,2;317;597,9
11,87;119,4;222,2;326,3;616,9
11,34;122,8;232,1;340,8;644,5
9,8;125,9;242,9;355,3;667,2
4,4;117,2;263,7;387,1;731,4
11,72;99,46;306,8;449;844,1
19,05;96,67;305,7;446,3;774
19,81;48,84;352,9;519,6;803,2
